URL,STATE,CATEGORY,Name of venue/attraction,Location,PHONE,WEBSITE,EMAIL,M1,M2,HS,H1,V1,OTHERINO,IMG_URL
http://www.australiaforall.com/ACT Restaurants.html,ACT,ACT Restaurants,PHILLIP,"Sky Plaza Apartments, Ground Level, 98 Corinna St.",+61 2 6162 0122,www.pepperedprawn.com.au,,YES,YES,NO,NO,NO,"Peppered Prawn is a seafood restaurant in Canberra located in the heart of the Woden Town Centre at the bottom of the Sky Plaza Apartments, (Next to Southern Cross Club). Watch Peppered Prawn&rsquo;s chefs create magic in their kitchen. Treat yourself to the best fish and chips in Canberra.  Peppered Prawn believes that a perfect dining experience isn&rsquo;t just about delicious food. That is why we offer a beautiful outdoor setting including a Marquee Corner.  The restaurant is fully accessible. Phone: +61 2 6162 0122 website: http://www.pepperedprawn.com.au",http://www.australiaforall.com/Images/ACT/Peppered Prawn  GIFF.gif
http://www.australiaforall.com/ACT Restaurants.html,ACT,ACT Restaurants,AINSLIE,"Restaurant 2602 Shop 2, 15 Edgar Street, Ainslie",02) 6247 4437,www.2602.com.au/,,YES,YES,NO,NO,NO,"Renowned for their breakfasts and their coffee, you can sit at the umbrella clad tables in the sun and enjoy French toast with bacon and grilled banana drizzled with maple syrup and enjoy the serenity.  The restaurant is wheelchair accessible.     Phone: 02) 6247 4437 website: http://www.2602.com.au/",http://www.australiaforall.com/Images/ACT/2602 Restaurant -ainslie (185 x 145).jpg GIFF.gif
http://www.australiaforall.com/ACT Restaurants.html,ACT,ACT Restaurants,CHIFLEY,"A Bite To Eat Shop 8 Eggleston Crescent, Chifley, ACT 2606", 02 6260 3703,www.abitetoeat.net.au,contact@abitetoeat.net.au,YES,YES,NO,NO,NO,"A Bite To Eat is a laid back cafe/bar located in the heart of Chifley, where the locals catch up with friends for a quality bite to eat or a tasty drink.   The style is eclectic with its mismatched furniture, original artworks and pre-loved vintage crockery and glassware, all adding to the unique and inviting atmosphere.  The hotel is wheelchair accessible and has a designated toilet for guests with mobility aids Phone:  02 6260 3703 e-mail: contact@abitetoeat.net.au website: http://www.abitetoeat.net.au",http://www.australiaforall.com/Images/ACT/A Bite To Eat   GIFF.gif
http://www.australiaforall.com/ACT Tours.html,ACT,ACT Tours,MAWSON,"Maria Slater Travel Shop 5 Block 3, Southlands Shopping Centre.",02 6290 7700,www.mariaslatertravel.com.au,holidays@mariaslatertravel.com.au,YES,YES,NO,YES,YES,"Hassle-free cruises for people with a disability. Maria Slater Travel is part of the Wheelie Good Cruises Group. Maria Slater Travel  specialises in designing unusual itineraries for individuals €“ the more complicated the better.  Fun and friendly consultants who care about you and your travel, from the quoting process right through to when you return home from your holiday.  We pride ourselves on our high quality of service, attention to detail and devoted time to our clients - we share a passion for travel and love sharing our knowledge and experience to create the perfect itinery for you. Phone: 02 6290 7700 e-mail: holidays@mariaslatertravel.com.au website: www.mariaslatertravel.com.au",http://www.australiaforall.com/Images/Wheelie Good Cruises logo.jpg
http://www.australiaforall.com/ACT Tours.html,ACT,ACT Tours,MANUKA,"Capital Travel Manuka 24 Bougainville Street, Manuka, ACT, 2603",02 6295 2733,www.go.cruising.com.au/capital-travel-manuka,,YES,YES,NO,YES,YES,"Capital Travel is part of the Wheelie Good Cruises Group.   Hassel-free cruises for people with disabilitries. Fascinating discoveries will fill every moment of your Cruise €“ both on shore and onboard. From the comfortable elegance of your ship to a wide range of activities and entertainment options, your favourite Cruise memories may be the ones you make right onboard!  Visit our cruising site to book your cruise today! Phone: 02 6295 2733 website: http://capitaltravel.com.au/",http://www.australiaforall.com/Images/Wheelie Good Cruises logo.jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  Hotel.html,NSW,NSW SYDNEY and SURROUNDS  Hotel,SYDNEY,820 George Street,+61 2 9217 6666,www.accorhotels.com/H2073,,YES,YES,NO,NO,NO,"The Mercure Sydney Hotel is located right in the heart of Sydney, it is central to all Sydney™s major attractions with parking on site and easy public transport right at the door. Four Elements (2010) is an in-house restaurant. The  Mercure Sydney Hotel has 517 rooms including 5 for people with disabilities.   24 hour reception and concierge is at your service. Phone: +61 2 9217 6666 e-mail: H2073@accor .com website: http://www.accorhotels.com/H2073",http://www.australiaforall.com/Images/NSW/Mercure  Sidney Hotel GIFF.gif
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  Hotel.html,NSW,NSW SYDNEY and SURROUNDS  Hotel,SYDNEY AIRPORT,"Stamford Plaza, Cnr O'Riordan & Robey St.",+61 2 9317 2200,www.stamford.com.au,,YES,NO,NO,NO,NO,The elegantly appointed rooms include 8mm double-glazed toughened safety glass windows making it quieter than the usual airport hotel. This hotel has facilities for guests with disabilities. Although it does not satisfy the M2 criteria it would certainly accommodate the needs of some guests who use wheelchairs.     Phone: +61 2 9317 2200 website: www.stamford.com.au,http://www.australiaforall.com/Images/NSW/Stamford Sydney Airport.gif
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  Motel.html,NSW,NSW SYDNEY and SURROUNDS  Motel,WOOLOOMOOLOO,50 McElhone St.,(02) 9358 3888,www.marinerscourt.com.au,reservations@marinerscourt.com.au,YES,YES,NO,NO,NO,"Mariners Court Hotel is a boutique Hotel, superbly located just 150 meters from the foreshore of Woolloomooloo Bay and the new Wharf complex. Tariff includes a complimentary light breakfast and free in-house movies.   All rooms have  en-suites and feature either a courtyard or private balcony.   There is wheelchair access and accessible  bathroom facilities to all 40 rooms.  There is a lift to all floors. Phone: (02) 9358 3888 email: reservations@marinerscourt.com.au website: www.marinerscourt.com.au",http://www.australiaforall.com/Images/NSW/Mariners Court GIFF.gif
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS Caravan Parks.html,NSW,NSW SYDNEY and SURROUNDS Caravan Parks,Lane Cove River Tourist Park,"Plassey Road, Macquarie Park ",+61 2 9888 9133 or 1300 729 133,www.lcrtp.com.au/,lccp@environment.nsw.gov.au,YES,YES,NO,NO,NO,"Just 10kms from the Sydney Harbour Bridge and Sydney Opera House, the Lane Cove River Tourist Caravan Park and Camp grounds provides a peaceful experience in ecotourism.  There is wheelchair access throughout the campgrounds. The four amenities blocks are all cleaned daily.  Separate disabled facilities and baby bath facilities are also available Phone: +61 2 9888 9133 or 1300 729 133 e-mail: lccp@environment.nsw.gov.au website: www.lcrtp.com.au",http://www.australiaforall.com/Images/NSW/Lane-Cove-River-Tourist-Park GIFF.gif
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS Holiday Parks.html,NSW,NSW SYDNEY and SURROUNDS Holiday Parks,TERRY HILLS,Checkers Country Resort & Conference Centre,(02) 9450 2422,www.checkers.com.au,,YES,YES,NO,NO,NO,Checkers Resort and Conference Centre is only 25 minutes from Sydney C.B.D. The resort is strategically located to be close enough to ensure you have easy access to all of Sydney&#39;s finest attractions.  Accommodation is provided suitable for use by people with disabilities.   Phone: (02) 9450 2422 website: www.checkers.com.au,http://www.australiaforall.com/Images/M1 (39 x 39).jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  Venues.html,NSW,NSW SYDNEY and SURROUNDS  Venues,SYDNEY Opera House,Opera House,,www.awm.gov.au,,YES,YES,NO,YES,YES,Sydney Opera House believes in equal access for all and that people with a disability have the right to fully participate in the community. Their promise is for all customers to have an inspiring experience.  ,http://www.australiaforall.com/Images/NSW/Opera House.jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  Venues.html,NSW,NSW SYDNEY and SURROUNDS  Venues,SYDNEY St George Regional Museum,MacMahon St. Hurstville,,www.hurstville.nsw.gov.au/page.asp?z=11&c=257&p=65,,YES,YES,NO,NO,NO,"Opened in  2004, at  its  current  location  next to  Hurstville City Council,   it  is   the  only  regional   museum  in  the  St  George  district. St. George Regional Museum  is a  popular  destination for  thousands  of  local   and  interstate visitors each year. The Museum is a hub of community  activity, presenting  programs, talks, special events  and exhibitions making the  Museum the epicentre of cultural activity in St George.  ",http://www.australiaforall.com/Images/NSW/St Georges GIFF.gif
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  Venues.html,NSW,NSW SYDNEY and SURROUNDS  Venues,SYDNEY Entertainment Centre,"SYDNEY Entertainment Centre 35, Harbour Street",,www.nma.gov.au,,YES,YES,NO,YES,NO,"The    Entertainment  Centre  was  opened  in  May  1983,  and  is currently owned by the Sydney Harbour Foreshore  Authority. It has a capacity  f or seating  almost  12,500  people,   and  hosts concerts, family shows, sporting events  and corporate  events. There is a hearing loop available and lift access to all levels with designated spaces adjacent to companion seating.  ",http://www.australiaforall.com/Images/NSW/Sydney_Entertinment_Centre (185 x 145).jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  Venues.html,NSW,NSW SYDNEY and SURROUNDS  Venues,SYDNEY Monorail  & Light Rail,SYDNEY Monorail  & Light Rail,,www.anbg.gov.au/anbg,,YES,YES,NO,NO,NO,"The Monorail and Light Rail are easily accessible to the aged, families with prams and travellers with a mobility impairment, travellers  with a vision impairment and those travelling with assistance and/or guide dogs.  All the Monorail stations have lift access and the Light Rail stations have either ramp or lift access. It is very easy to get both on an off the Monorail with flat platform access and the comfortable cabins provide access for prams and wheelchairs. Light Rail.   All the Light Rail stations have either ramp or lift access. The Light Rail is also easy to get on and off from the platform and on board the vehicle you will find plenty of room for a wheelchair or pram. For details of access to monorail and light stations please see the web site. website: http://www.metromonorail.com.au/Disabled.asp",http://www.australiaforall.com/Images/NSW/Monorail Sydney GIFF.gif
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS Ferries.html,NSW,NSW SYDNEY and SURROUNDS Ferries,Wheelchair accessible wharfs on this route,Wheelchair accessible wharfs on this route,,www.browsealoud.com/plus/scripts/ba.js>,,YES,YES,NO,NO,NO,Abbotsford Chiswick Circular Quay Darling Harbour (King Street) Kissing Point Meadowbank Parramatta Rydalmere Sydne Olympic Park (Homebush)  ,http://www.australiaforall.com/Images/NSW/sydney_ferries_corporation.gif
http://www.australiaforall.com/NSW SYDNEY and  SURROUNDS  Restaurants.html,NSW,NSW SYDNEY and  SURROUNDS  Restaurants,MILSONS POINT,Ripples at Milsons Point,(02) 9929 7722,www.ripplescafe.com.au,,YES,YES,NO,NO,NO,Ripples is a relaxed caf© where diners enjoy the casual harbour atmosphere.  Ripples caf© has been created by the team behind the award winning Aqua Dining restaurant.   The caf© is alfresco with clear awnings and heaters to keep the warmth in during the winter months.  There is a step-less entry and an accessible toilet available.   Phone: (02) 9929 7722  website: www.ripplescafe.com.au,http://www.australiaforall.com/Images/NSW/Ripples Cafe GIFF.gif
http://www.australiaforall.com/NSW SYDNEY and  SURROUNDS  Restaurants.html,NSW,NSW SYDNEY and  SURROUNDS  Restaurants,MILSONS POINT,Aqua Dining Corner Paul & Northcliff Streets,(02) 9964 9998,www.,,YES,YES,NO,NO,NO,"Suspended above the Historic North Sydney Olympic Pool, nestled between the Luna Park face and the Sydney Harbour Bridge aqua dining is discreetly privy to one of the most exciting International cityscapes. A refined restaurant, both modern and minimalist in space, where diners can enjoy a uniquely Sydney experience. A lift and accessible toilet are available.     Phone: (02) 9964  9998 website: www. aquadining.com.au",http://www.australiaforall.com/Images/M1 (39 x 39).jpg
http://www.australiaforall.com/NSW SYDNEY and  SURROUNDS  Restaurants.html,NSW,NSW SYDNEY and  SURROUNDS  Restaurants,DARLINGHURST,Bandstand Cafe 301 Victoria Street,(02) 9360 9266,,,YES,YES,NO,NO,NO,Located  in  an     the   idyllic   setting   in  the  floral   Green  Park bandstand that gives this cafe-style eatery a unique identity.    It is advisable to make a booking particularly  on  weekends.  It   is licensed with wine available by the glass or BYO with a corkage fee.  Toilets are accessible available on site.     Phone: (02) 9360 9266,http://www.australiaforall.com/Images/NSW/Bandstand cafe (185 x 145).jpg
http://www.australiaforall.com/NSW SYDNEY and  SURROUNDS  Restaurants.html,NSW,NSW SYDNEY and  SURROUNDS  Restaurants,BLACKTOWN,Lone Star Steakhouse,(02) 9672 4777,www.lonestar.com.au,,YES,YES,NO,NO,NO,"Lone Star serves high quality steaks aged for 21 days and hand-cut from Australian grain fed beef and grilled to perfection over mesquite wood which ensures a distinctive flavour!  The  menu includes  a selection of ribs, chicken and fish, all served in generous Texas size portions.   The Lone Star Steakhouse is wheelchair accessible.   Phone: (02) 9672 4777 website: www.lonestar.com.au",http://www.australiaforall.com/Images/NSW/Lone Star(185 x 145).jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  CTC.html,NSW,NSW SYDNEY and SURROUNDS  CTC,Theatre Royal,MLC Centre 108 King Street,02 9265 9333,www.theatreroyal.net.au,,YES,YES,NO,NO,NO,"The  Theatre  Royal   is  Sydney's   premier  commercial  theatre venue.  It  house 1,180  people  and  plays  host   to a  range  of theatrical  entertainment  which includes  high  quality  dramas, comedy,     and   mega-musicals.  It  is   accessible   for   people  with disabilities and has food outlets, together  with  accessible toilets. Phone: 02 9265 9333 website: http://www.theatreroyal.net.au",http://www.australiaforall.com/Images/NSW/Theatre Royal.jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  CTC.html,NSW,NSW SYDNEY and SURROUNDS  CTC,Sydney Opera House,Sydney Opera House,+61 2 9250 7111,www.sydneyoperahouse.com,,YES,YES,NO,YES,YES,Sydney Opera House believes in equal access  for  all  and  that people with a disability have the right to  fully  participate  in the community.   Our  promise   is   for   all   customers  to   have  an inspiring experience.   For  detailed information  on  accessible facilities for people with  disabilities  please  go  to  the  website below. Phone: +61 2 9250 7111 website: www.sydneyoperahouse.com,http://www.australiaforall.com/Images/NSW/The Sydney Opera House.jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  CTC.html,NSW,NSW SYDNEY and SURROUNDS  CTC,Dendy Cinemas Opera Quays,Dendy Cinemas Opera Quays,+61 2 9247 3800,www.dendy.com.au,,YES,YES,NO,YES,YES,"Located on the promenade leading towards the Sydney  Opera House,   Dendy  Opera  Quays  overlooks  spectacular  Sydney Harbour.  With stylish decor and wheelchair access to all three cinemas,  Opera  Quays  has  become the  favourite  venue  for lovers of fine films and dedicated art-house cinema goers.  Phone: +61 2 9247 3800 website: www.dendy.com.au",http://www.australiaforall.com/Images/M1 (39 x 39).jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS  CTC.html,NSW,NSW SYDNEY and SURROUNDS  CTC,Sydney Theatre Company ,"Pier 4, Hickson Rd., Walsh Bay  ",(02) 9250 1777,www.sydneytheatre.com.au/contact-us,boxoffice@sydneytheatre.com.au,YES,YES,NO,YES,NO,"The Sydney Theatre Company (STC) is one of Australia's best-known theatre companies operating from The Wharf Theatre near The Rocks area of Sydney.  For those who use a mobility aid, front row seats can be booked if available.  For those with visual impairments audio-described performances are often programmed (check performance programme).  Headsets are available and should be collected before the performance from the Box Office.  Hearing augmentation systems are available via an induction loop and infrared. As some seats may be €˜out of range™ let the box office know your needs when making your booking.  Headsets are available.  The theatre uses plasma screens for captioning. The screens are best visible from selected seats.  When booking seats for captioned performances, please contact the box office and ensure that you request €˜Caption Seats™. Phone: (02) 9250 1777 e-mail: boxoffice@sydneytheatre.com.au website: http://www.sydneytheatre.com.au/contact-us",http://www.australiaforall.com/Images/NSW/Sydney Theatre Company  GIFF.gif
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS Tours.html,NSW,NSW SYDNEY and SURROUNDS Tours,SYDNEY Wheelchairs To Go Accessible tours,SYDNEY Wheelchairs To Go Accessible tours,0400 030 833 or (02) 9290 1470,www.wheelchairs.sydney.net/access.html,,YES,YES,NO,NO,NO,"Sydney&#39;s Harbour Highlights Duration: 4 hours (10am start) Blue Mountains Wonderland Duration: 7 hours (9.30am start) 2, 4 & 6 hour Shopping Tours   Phone:   0400 030 833 or (02) 9290 1470 website: www.wheelchairs.sydney.net/access.html",http://www.australiaforall.com/Images/NSW/Access tours.jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS Tours.html,NSW,NSW SYDNEY and SURROUNDS Tours,SYDNEY Australia In Style,"1A Market Street, Ranwick","sydney australia in style - 1a market street, ranwick",www.australiainstyle.com.au/WheelchairTours.aspx,info@australiainstyle.com.au,YES,YES,NO,NO,NO," SYDNEY  Australia In Style - 1A Market Street, Ranwick CRITERIA     Enjoy new experiences in the comfort of your own chauffeured wheelchair friendly coach . Access for 2 wheelchairs by level, electronic lift.    Trained drivers. Total  11 seats.   Select from our specially designed tours or customize to your personal specifications.  We will take you sightseeing, luxury shopping escapades, elegant dining and tours of the Hunter wine region.",http://www.australiaforall.com/Images/NSW/Art248_accessible.jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS Tours.html,NSW,NSW SYDNEY and SURROUNDS Tours,The Rocks Self Guided Walking Tour ,The Rocks Self Guided Walking Tour ,,www.selfguidedwalkingTours.com,enquiries@selfguidedwalkingtours.com,YES,YES,NO,NO,YES,,http://www.australiaforall.com/Images/V1  (39 x 39).jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS Tours.html,NSW,NSW SYDNEY and SURROUNDS Tours,SURRY HILLS,"Spencer Travel Level 6, 64 Kippax Street",,www.spencertravel.com.au,info@australiainstyle.com.au,YES,YES,NO,NO,NO,,http://www.australiaforall.com/Images/NSW/spencer logo new High Res 10-2006 (120 x 183).jpg
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS Tours.html,NSW,NSW SYDNEY and SURROUNDS Tours,ULTIMO,"Cimu Adventures, 6/88 Mountain St., Ultimo",,www.chimuadventures.com/australia/,info@australiainstyle.com.au,YES,YES,NO,NO,NO,,http://www.australiaforall.com/Images/NSW/Chimu Adventures  Packaged Tours GIFF.gif
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS Tours.html,NSW,NSW SYDNEY and SURROUNDS Tours,WORLDWIDE,Traveleyes,,www.traveleyes-international.com/,info@australiainstyle.com.au,NO,NO,NO,NO,YES,,http://www.australiaforall.com/Images/NSW/Traveleyes  GIFF.gif
http://www.australiaforall.com/NSW SYDNEY and SURROUNDS Tours.html,NSW,NSW SYDNEY and SURROUNDS Tours,Heart of Fiji Travel,39  Liverpool St. Sydney,,,info@heartoffiji.com.au,NO,YES,NO,NO,YES,,http://www.australiaforall.com/Images/NSW/Heart of Fiji Travel (110 x 145).jpg
http://www.australiaforall.com/NSW CENTRAL COAST Hotel.html,NSW,NSW CENTRAL COAST Hotel,NORTH GOULBURN,"Goulburn Heritage Lodge, 69 Sydney Rd",1800 812 651 or (02) 4821 9377,www.canberra.park.hyatt.com>,,YES,YES,NO,NO,NO,"The Goulburn Heritage Lodge, with its wide range of accommodation from budget to family suites is the ideal place to stay and enjoy the many attractions of the area.  There is one  room with facilities suitable for guests with disabilities.  The Goulburn Heritage Lodge has is own Licensed Restaurant open for breakfast and dinner 7 days a week.   Phone: 1800 812 651  or  (02) 4821 9377 website: www.goulburnheritagelodge.com.au",http://www.australiaforall.com/Images/NSW/Goulburn Heritage GIFF.gif
http://www.australiaforall.com/NSW CENTRAL COAST Hotel.html,NSW,NSW CENTRAL COAST Hotel,"NORTH WOLLONGONG Novotel Northbeach 2144 Cliff Road,","NORTH WOLLONGONG Novotel Northbeach 2144 Cliff Road,",+ 0 2 4224 3111,www.accorhotels.com/1654,H1654@accor.com,YES,NO,NO,NO,NO,"The   hotel    boasts   204    spacious     accommodation     rooms, including 3 for people with disabilities.  .All rooms  are beautifully styled   with   modern  furnishings.    All have   spectacular  views ranging from the mountain range and local  surroundings  to  the beachfront and coastline. These versatile rooms offer comfort for all guests offering a relaxing atmosphere to truly rejuvenate  and invigorate. Phone:  + 0 2 4224 3111  e-mail: H1654@accor.com website: http://www.accorhotels.com/H1654",http://www.australiaforall.com/Images/NSW/Novotel Northbeach GIFF.gif
http://www.australiaforall.com/NSW CENTRAL COAST Hotel.html,NSW,NSW CENTRAL COAST Hotel,WOLLONGONG,"Hotel Ibis Wollongong, Cnr Market & Church St",+61  02  4223 6000,www.ibishotel.com/gb/hotel-6377,H6377@accor.com,YES,YES,NO,NO,NO,"Hotel Ibis Wollongong is located in the heart of the city, in the main entertainment and business precinct. The hotel has two accommodation wings connected by a frameless glazed bridge, set in landscaped gardens and features 150 rooms, including 6 for guests with disabilities. An a-la-carte restaurant, bar and off street car parking.   Phone: +61  02  4223 6000 e-mail: H6377@accor.com website: http://www.ibishotel.com/gb/hotel-6377",http://www.australiaforall.com/Images/NSW/Hotel Ibis Wollongong GIFF.gif
